first_name,middle_initial,last_name,animal,material,country
Corella,R,Andreopolos,Cape Barren goose,Brass,Peru
Sianna,F,Oaker,Red-legged pademelon,Granite,Brazil
Kenneth,A,Ricci,Pale-throated three-toed sloth,Stone,Venezuela
Jemmie,T,Bosson,"Mouse, four-striped grass",Granite,Uganda
Alic,B,Malia,Black-fronted bulbul,Steel,Macedonia
Cate,Q,McGerr,Bonnet macaque,Stone,Philippines
Jermaine,X,Dearnley,"Baboon, gelada",Plexiglass,Honduras
Gussie,I,Ilyin,Long-crested hawk eagle,Aluminum,China
Bary,C,Pallent,Wild turkey,Granite,Uruguay
Rosita,A,Orr,Marabou stork,Steel,Venezuela
Crystal,B,Scholtis,Yellow-rumped siskin,Vinyl,Philippines
Brigitte,D,Aimable,Indian leopard,Plexiglass,United Kingdom
Hermann,X,Graveston,"Squirrel, uinta ground",Stone,Sweden
Danya,W,Sneesbie,Blue peacock,Wood,Mexico
Gustav,X,Hazzard,"Fox, blue",Steel,Jordan
Bette,I,Creer,"Booby, masked",Vinyl,China
Julita,P,Heeks,"Wolf, mexican",Brass,Russia
Edy,V,Hlavac,Blue wildebeest,Wood,Colombia
Mercedes,P,Brakespear,Great white pelican,Wood,Indonesia
Toni,Z,Kinver,Tokay gecko,Plexiglass,Netherlands
Hillie,D,Castaner,American bison,Rubber,Sweden
Windy,J,Hugues,"Egret, cattle",Plexiglass,Nepal
Augustine,R,Standrin,Black-throated cardinal,Steel,United States
Malchy,I,Hanvey,"Wallaby, agile",Glass,Russia
Kelcey,S,Tame,Rainbow lory,Glass,Colombia
Ernst,V,Colston,"Gazelle, grant's",Aluminum,France
Zacharia,A,Jantzen,White-faced whistling duck,Brass,Czech Republic
Kerrie,A,Choffin,"Viper, egyptian",Vinyl,Sierra Leone
Ingrid,B,Paskin,White rhinoceros,Aluminum,Russia
Addison,M,McCaughey,"Crow, house",Glass,Brazil
Adah,K,Jarmaine,Downy woodpecker,Rubber,China
Nefen,V,Summerlad,Greater blue-eared starling,Plastic,Portugal
Heinrik,N,Madeley,Blue and gold macaw,Rubber,Indonesia
Reggie,H,Gartell,African wild dog,Aluminum,Ukraine
Angelico,R,Capnor,"Goose, greylag",Wood,Ukraine
Janet,G,Pothergill,"Trotter, lily",Brass,Finland
Erda,J,Isley,Southern tamandua,Vinyl,Moldova
Chrissie,O,Headley,Red-tailed wambenger,Plastic,China
Jessalyn,X,Shearwood,"Shrike, southern white-crowned",Stone,Japan
Jeri,Y,Necolds,Bee-eater (unidentified),Brass,Indonesia
Sam,W,McGann,"Dove, emerald-spotted wood",Brass,Uzbekistan
Giuseppe,S,Rainard,Ornate rock dragon,Steel,China
Bryon,N,Quinsee,Caribou,Aluminum,Sweden
Raeann,C,Pichan,"Dove, white-winged",Aluminum,Russia
Yank,A,Janson,Koala,Glass,Czech Republic
Agata,O,Levee,"Shark, blue",Granite,China
Troy,R,Vella,"Lemur, grey mouse",Rubber,Philippines
Aube,U,Cunney,Palm squirrel,Brass,Brazil
Guinevere,Z,Stoney,"Grouse, greater sage",Steel,China
Tallia,I,Rudiger,African lion,Vinyl,South Africa
Grange,Y,Pattinson,Secretary bird,Glass,Guatemala
Lyda,W,Rudwell,Magellanic penguin,Rubber,China
Eydie,M,Slateford,"Plover, blacksmith",Steel,Russia
Edgar,K,Huelin,Red deer,Glass,Afghanistan
Garnette,K,Schutt,Desert tortoise,Aluminum,China
Skelly,W,Klagges,Scarlet macaw,Stone,Russia
Hughie,D,Mathewson,"Phalarope, red-necked",Aluminum,China
Brigg,O,Wohler,"Pheasant, ring-necked",Vinyl,Philippines
Al,L,MacGruer,Canadian river otter,Aluminum,Serbia
Carmella,M,Audas,"Crane, stanley",Aluminum,Japan
Meyer,U,Upston,"Caiman, spectacled",Plastic,United States
Abigale,S,Yielding,"Bison, american",Rubber,United States
Margaret,F,Polfer,"Possum, golden brush-tailed",Plastic,China
Katy,O,Geraldini,Rock dove,Aluminum,Finland
Rina,H,Nitti,"Skua, great",Steel,Japan
Adoree,L,Sends,Aardwolf,Steel,Nigeria
Jessey,L,Kauffman,Suricate,Wood,Bulgaria
Kat,D,McWhorter,Arctic tern,Wood,Brazil
Neale,O,Harflete,Black kite,Steel,United States
Glynda,Q,Maric,Coke's hartebeest,Brass,Saudi Arabia
Wolfgang,N,Thurstance,"Cockatoo, red-tailed",Granite,Angola
Peggi,H,Milby,"Gazer, sun",Rubber,Portugal
Scottie,D,Angove,"Sheep, red",Rubber,Indonesia
Jacquelyn,E,Barford,"Rhea, gray",Rubber,Colombia
Cherilyn,M,Crossdale,"Swan, trumpeter",Glass,Japan
Maudie,Q,De Bischof,"Lechwe, kafue flats",Steel,China
Janka,N,Dally,"Coatimundi, white-nosed",Wood,Brazil
Mathian,W,Lerego,"Starling, superb",Stone,China
Joaquin,I,Giovannilli,Griffon vulture,Glass,Aruba
Keir,Y,Bowerman,"Dunnart, fat-tailed",Aluminum,China
Elnora,J,Easey,"Crocodile, nile",Stone,Russia
Jacques,H,Abdon,Carpet snake,Plastic,Greenland
Lonee,U,Gwynne,"Pheasant, common",Granite,Philippines
Shela,U,Gooding,"Wallaby, river",Aluminum,Brazil
Maribel,Y,Darton,"Gazer, sun",Plexiglass,Russia
Isidoro,C,Burhill,"Kudu, greater",Granite,Poland
Ellie,L,Rotter,"Grouse, sage",Stone,Indonesia
Mikel,R,Harder,Pocket gopher (unidentified),Plexiglass,Indonesia
Levi,Z,Fantham,Common eland,Brass,Indonesia
Denice,O,Korfmann,Red hartebeest,Plastic,Haiti
Madlin,G,Earpe,"Ass, asiatic wild",Stone,China
Ulrike,Q,Markos,African porcupine,Granite,Japan
Eugenia,O,Cavanagh,"Wambenger, red-tailed",Brass,Costa Rica
Findlay,V,Stancer,"Reedbuck, bohor",Plexiglass,Honduras
Adora,V,Pumphreys,"Mongoose, yellow",Aluminum,Brazil
Lauren,S,Scammonden,Common ringtail,Granite,Czech Republic
Giustino,K,Duignan,American marten,Granite,Indonesia
Cristian,V,Mahaddy,Pampa gray fox,Stone,South Korea
Perice,M,Shone,"Dragon, asian water",Wood,Indonesia
Cecile,K,Pennoni,Caracara (unidentified),Glass,Philippines
Claudianus,A,Rabbet,"Crocodile, nile",Aluminum,Philippines
Xaviera,G,Chippindall,"Goose, cereopsis",Granite,China
Vin,E,Heugle,Red-billed buffalo weaver,Rubber,Nigeria
Mellicent,A,Foad,Common wallaroo,Wood,China
Maurene,N,Giacaponi,Clark's nutcracker,Granite,Nigeria
Abagail,M,O' Donohue,Malleefowl,Rubber,Philippines
Feodor,X,Murkin,African wild cat,Vinyl,Kosovo
Kay,C,Itzkov,"Heron, giant",Granite,Malaysia
Duffie,W,Quelch,"Cat, native",Plexiglass,Thailand
Whittaker,H,Ainslee,Sulfur-crested cockatoo,Glass,Greece
Adrien,T,Phateplace,"Seal, northern fur",Glass,Nigeria
Pietra,U,Smerdon,Old world fruit bat (unidentified),Wood,China
Emelen,X,Broadbere,"Dragon, asian water",Plexiglass,Brazil
Jaimie,R,MacCaughen,Hummingbird (unidentified),Aluminum,Sweden
Teodoro,H,Vinter,"Eagle, long-crested hawk",Stone,Argentina
Billie,B,Rupp,"Macaw, scarlet",Glass,Colombia
Ogden,K,Kubicki,Black-collared barbet,Brass,Slovenia
Faunie,R,Lowdeane,"Crocodile, nile",Plexiglass,Dominican Republic
Beilul,J,Rowbotham,Beisa oryx,Stone,Philippines
Fanny,V,Whyffen,"Alligator, american",Vinyl,Indonesia
Augustine,L,Bussy,Guerza,Glass,China
Jameson,E,Syms,"Gull, swallow-tail",Steel,Russia
Carlie,H,Beare,Woodrat (unidentified),Aluminum,Brazil
Lavinie,B,Edmundson,"Turaco, violet-crested",Glass,Poland
Fredra,K,McNeilley,Chital,Brass,Indonesia
Ettore,R,Bansal,Yak,Glass,Thailand
Valina,L,Breckell,"Wallaby, river",Steel,United States
Freda,A,Rudkin,"Badger, eurasian",Brass,China
Nicol,E,Tetla,"Hyena, striped",Rubber,France
Gris,M,Abramov,"Vulture, white-headed",Wood,Czech Republic
Ezri,Z,Fraulo,"Jackal, indian",Wood,Nigeria
Dena,B,Keesman,"Bear, sloth",Steel,United States
Ermengarde,Z,De Witt,"Elephant, asian",Vinyl,Philippines
Jordain,L,Schrinel,Asian water dragon,Plexiglass,Thailand
Wolfgang,W,Rockcliff,Striated heron,Granite,Venezuela
Al,Z,Plumptre,African lynx,Wood,Latvia
Nichole,J,Throughton,"Bear, grizzly",Plastic,Indonesia
Conchita,M,Lethabridge,European beaver,Plastic,Brazil
Bibby,B,Bougen,Violet-crested turaco,Granite,Sweden
Chadd,R,Hawton,Common goldeneye,Wood,Indonesia
Lynnette,A,Coils,"Dragon, ornate rock",Brass,China
Miof mela,Y,Mose,Eastern boa constrictor,Glass,China
Stoddard,G,Le Gassick,Western grey kangaroo,Rubber,France
Biron,L,Cuckson,Yellow-rumped siskin,Granite,Finland
Suzanna,X,Leamy,Black kite,Rubber,Brazil
Doria,E,Maunsell,"Nutcracker, clark's",Rubber,France
Tull,T,Anthiftle,"Woodcock, american",Granite,Portugal
Ayn,U,Sissot,Wolf spider,Vinyl,Brazil
Borg,I,Formoy,"Sloth, two-toed",Stone,Portugal
Vaclav,T,Valenta,"Turtle, eastern box",Stone,China
Butch,V,Pickup,Steenbok,Glass,Philippines
Cleavland,U,McMurdo,"Squirrel, red",Stone,France
Krissie,A,Piercey,Yellow-bellied marmot,Vinyl,Japan
Lorens,C,Jachimczak,"Porcupine, north american",Steel,Palestinian Territory
Sandy,R,Hutchinges,Southern right whale,Stone,Australia
Farra,G,Gell,"Dragon, asian water",Plexiglass,Russia
Dulcia,X,Caulliere,"Siskin, pine",Rubber,China
Bary,A,Pendry,American Virginia opossum,Steel,Japan
Erl,W,Blatcher,Grey phalarope,Steel,United States
Casandra,X,Amery,"Dik, kirk's dik",Steel,Qatar
Honoria,X,Rawcliffe,Jaguar,Plexiglass,China
Danette,E,Sivier,Asian water dragon,Plexiglass,Portugal
Idaline,T,Lamyman,Warthog,Brass,Philippines
Gabriell,U,Gillicuddy,Sloth bear,Granite,Comoros
Merla,O,Carrigan,"Albatross, galapagos",Plastic,China
Ewan,X,Suffield,Sociable weaver,Plexiglass,Russia
Whit,M,Killik,"Sheep, red",Rubber,Iran
Danni,U,Demcik,Guanaco,Wood,Belgium
Charmain,V,Bowle,"Tern, white-winged black",Plexiglass,China
Sky,K,Benadette,Gray langur,Granite,Laos
Natalina,Q,Parratt,"Quail, gambel's",Vinyl,United States
Cheri,U,Gergher,Steenbok,Stone,Mexico
Ange,E,Lilford,Brush-tailed phascogale,Plastic,Vietnam
Meredithe,D,Quelch,"Teal, hottentot",Vinyl,Malawi
Dieter,Q,Panter,Southern screamer,Vinyl,Russia
Esma,X,Parkisson,"Hornbill, yellow-billed",Stone,China
Brantley,Y,Bodker,Crowned hawk-eagle,Plastic,Brazil
Chicky,Y,Pescod,Common grenadier,Granite,Indonesia
Cesare,R,Rye,"Hornbill, southern ground",Plastic,Indonesia
Ahmed,U,Helstrom,Pallas's fish eagle,Aluminum,Nigeria
Eberhard,H,Mardlin,Golden-mantled ground squirrel,Steel,Brazil
Elita,F,Gask,Sarus crane,Aluminum,Slovenia
Ardyce,N,McCluskey,"Ferret, black-footed",Aluminum,France
Robinia,V,Dyet,Blue crane,Steel,United Arab Emirates
Florence,R,Cackett,Eastern white pelican,Stone,Russia
Frieda,D,Stammirs,"Gull, dusky",Aluminum,Mongolia
Townsend,V,Loomis,"Tapir, brazilian",Plastic,Zambia
Tiphanie,Y,Escoffier,"Seal, southern elephant",Plexiglass,Indonesia
Isador,M,Realph,"Elephant, african",Rubber,Iran
Berkie,A,Yanyshev,Savannah deer (unidentified),Brass,Philippines
Jeddy,G,Mains,Common dolphin,Plastic,Slovenia
Bordy,Z,Shobbrook,"Buffalo, american",Vinyl,Bulgaria
Karola,U,McGennis,Eastern grey kangaroo,Wood,Poland
Rosa,X,Brinkman,"Armadillo, common long-nosed",Glass,China
Howard,D,Woodroffe,"Stork, jabiru",Wood,Japan
Camille,F,Bowry,Tiger snake,Granite,Poland
Ruthy,Q,Dillinger,Striped hyena,Wood,France
Coleen,W,Sandwith,"Dolphin, striped",Brass,Palestinian Territory
Dunstan,S,Hiscoe,Goanna lizard,Vinyl,Peru
Petr,P,Felstead,Leadbeateri's ground hornbill,Aluminum,Colombia
Cacilia,Q,Buckby,Puku,Plexiglass,Iceland
Tiebout,Q,Littlekit,Meerkat,Rubber,Malaysia
Ingelbert,R,Wims,"Heron, yellow-crowned night",Stone,Russia
Ethelbert,E,Rochford,Pied crow,Steel,Russia
Sander,C,Knoller,"Crake, african black",Wood,United States
Tori,S,Gull,Roe deer,Wood,China
Louis,N,Birks,Black kite,Vinyl,China
Kelbee,J,Densie,"Dolphin, common",Plexiglass,Indonesia
Tito,H,Batram,"Goose, greylag",Stone,Italy
Alta,O,Saipy,Nine-banded armadillo,Rubber,Brazil
Nigel,P,Cuff,"Goose, greylag",Steel,China
Jorge,P,Callaway,"Hartebeest, red",Glass,France
Joya,A,Dhillon,"Egret, great",Granite,Egypt
Eleonora,I,Dunklee,"Possum, ring-tailed",Rubber,China
Perice,Y,Slavin,Flightless cormorant,Rubber,Colombia
Jess,E,Dubber,Hoffman's sloth,Aluminum,Paraguay
Claudetta,Q,Dannatt,Bontebok,Plexiglass,Portugal
Bailey,U,Allnutt,Agile wallaby,Vinyl,Philippines
Sheelah,D,Pamplin,"Lion, california sea",Vinyl,Russia
Adrian,C,Simnel,"Salmon, sockeye",Stone,Vietnam
Clarice,X,Kluss,"Bleu, red-cheeked cordon",Aluminum,Azerbaijan
Bert,B,Lanyon,Leopard,Rubber,Ukraine
Rutger,N,Clements,"Nuthatch, red-breasted",Stone,Poland
Catrina,R,O'Connell,"Hornbill, southern ground",Brass,Brazil
Hanna,P,Ickovits,Whip-tailed wallaby,Plexiglass,Ukraine
Reed,D,Harkus,American racer,Wood,Indonesia
Sybilla,H,Henken,"Bird, bare-faced go away",Rubber,France
Bordie,S,Soanes,American bison,Vinyl,Nigeria
Kristina,N,Hardwick,Green heron,Brass,China
Billy,V,Shallcrass,Black-necked stork,Steel,China
Coop,A,Liger,Eastern boa constrictor,Glass,China
Theodosia,U,Kirmond,"Coot, red-knobbed",Stone,Russia
Nat,S,Di Antonio,Western patch-nosed snake,Plastic,Indonesia
Raul,L,Gelder,Javan gold-spotted mongoose,Stone,Yemen
Redd,A,Totterdell,Red-tailed hawk,Steel,Vietnam
Danny,Y,Sydry,Egyptian cobra,Steel,Indonesia
Kalil,A,McAuley,Malleefowl,Plexiglass,Peru
Kylie,H,Loddy,"Heron, giant",Vinyl,Indonesia
Felisha,M,Grimble,"Boa, emerald green tree",Stone,Brazil
Gerti,I,Klaff,"Lion, african",Aluminum,Honduras
Ruby,N,Denge,Wild turkey,Vinyl,Ethiopia
Dagny,P,Lillywhite,"Mongoose, banded",Granite,Mongolia
Valera,R,Raistrick,Ground legaan,Steel,Brazil
Phyllys,E,Pack,North American beaver,Granite,Bangladesh
Sella,F,Mollin,Short-nosed bandicoot,Wood,Brazil
Kenna,B,Edger,Black curlew,Rubber,Indonesia
Ashil,G,Cleeve,"Hedgehog, south african",Stone,Norway
Gamaliel,H,Reisenberg,Pygmy possum,Aluminum,China
Cherida,U,Whight,Harbor seal,Stone,China
Roderic,Y,McGauhy,Violet-eared waxbill,Stone,Russia
Kit,K,Carnilian,"Gecko, ring-tailed",Wood,Gabon
Tawsha,L,Squier,"Squirrel, thirteen-lined",Brass,Philippines
Agnes,D,Borel,Black-collared barbet,Aluminum,United States
Helli,H,Peacey,American beaver,Rubber,Portugal
Elspeth,D,Flecknoe,"Hartebeest, coke's",Rubber,China
Killie,V,Macklin,Slender loris,Plastic,Brazil
Sallie,F,Thomson,Yellow mongoose,Vinyl,Mexico
Kris,J,Scatchar,White-lipped peccary,Stone,Indonesia
Berty,T,Matthews,"Legaan, Monitor (unidentified)",Aluminum,Norway
Obidiah,U,Tarbin,"Ibis, puna",Rubber,Brazil
Dorris,Z,Wallas,Rufous tree pie,Brass,Indonesia
Consuelo,Y,Bolte,Common seal,Wood,Moldova
Marcus,V,Haddleton,Hudsonian godwit,Granite,China
Brier,W,Scafe,"Dog, african wild",Granite,France
Aloysius,O,Jarred,Greater kudu,Wood,Panama
Warden,I,Shackleton,"Squirrel, eurasian red",Glass,Sweden
Shantee,W,Bassick,"Owl, snowy",Plastic,China
Rowen,L,Messent,Mexican beaded lizard,Glass,Portugal
Nikoletta,B,Goncaves,"Sparrow, house",Rubber,China
Daloris,W,Gerardin,Green heron,Stone,United States
Biddie,T,Bransdon,Two-banded monitor,Rubber,Canada
Baldwin,V,Marzelle,"Mongoose, banded",Vinyl,Slovenia
Stillman,B,Oakwood,"Puma, south american",Plastic,Indonesia
Lowe,N,Canner,"Barbet, levaillant's",Wood,United States
Brendan,Z,Rentcome,Eastern box turtle,Vinyl,China
Lynnet,M,Tunbridge,Rhesus macaque,Rubber,Dominican Republic
Kameko,F,Chiplin,Snow goose,Stone,South Korea
Sisile,Z,Domaschke,"Mongoose, javan gold-spotted",Steel,Sweden
Mathilda,H,Kliemann,"Siskin, yellow-rumped",Brass,Vietnam
Damon,Z,Hartfield,White-lipped peccary,Rubber,China
Lesya,U,Kropach,"Cliffchat, mocking",Granite,Macedonia
Tye,C,Galey,American black bear,Glass,Indonesia
Iris,S,Cana,"Bulbul, black-eyed",Aluminum,China
Cathe,J,McKeeman,"Heron, green-backed",Aluminum,Philippines
Shae,X,Millin,"Mongoose, banded",Vinyl,Pakistan
Katherina,B,Crighten,Little grebe,Wood,Canada
Clotilda,K,O'Glessane,"Bird, red-billed tropic",Steel,Ireland
Gaylord,U,Hawksby,"Boa, malagasy ground",Aluminum,China
Katrina,A,Bispham,Ring-tailed gecko,Wood,Uruguay
Gratia,X,Beaten,"Lion, galapagos sea",Stone,China
Allie,N,Valentin,Coqui partridge,Wood,Sweden
Alfred,H,Fripps,"Colobus, white-mantled",Aluminum,Russia
Hart,B,Boldero,"Kangaroo, brush-tailed rat",Plexiglass,Brazil
Doug,L,Prinne,Eurasian red squirrel,Steel,Poland
Alphonse,C,Musprat,"Deer, roe",Plexiglass,Portugal
Silvain,E,Kobiela,"Stilt, black-winged",Rubber,Portugal
Caresa,P,Marfell,Sacred ibis,Plexiglass,Poland
Charlton,U,Webster,Red-billed hornbill,Steel,China
Sanson,L,Strass,"Porcupine, prehensile-tailed",Brass,Armenia
Shawnee,A,Bromehead,Monitor lizard (unidentified),Granite,China
Virgie,R,Stentiford,"Spurfowl, yellow-necked",Stone,Sweden
Broderick,C,Goodin,"Quoll, eastern",Rubber,China
Paige,T,Filliskirk,White-rumped vulture,Aluminum,France
Ellsworth,Q,Cunnell,Sidewinder,Aluminum,Portugal
Randy,S,Alesio,"Reedbuck, bohor",Stone,Russia
Nichols,C,Dethloff,European spoonbill,Plexiglass,Mexico
Querida,Z,Foyston,Egyptian cobra,Steel,China
Linet,C,Van,"Squirrel, malabar",Aluminum,China
Papagena,A,Kempe,"Lizard, desert spiny",Rubber,China
Dorice,Z,Broinlich,Burmese brown mountain tortoise,Rubber,Portugal
Juliet,G,Maddaford,"Pademelon, red-legged",Glass,Indonesia
Grace,W,Colliford,"Bear, american black",Plexiglass,Armenia
Lenard,O,Krier,Cook's tree boa,Plexiglass,Armenia
Karlyn,C,Haggett,Currasow (unidentified),Wood,Sweden
Fidela,C,Vaszoly,"Flamingo, greater",Plexiglass,Russia
Ilaire,B,Gudgin,Long-nosed bandicoot,Granite,Philippines
Willard,W,Powley,"Dolphin, bottle-nose",Aluminum,Indonesia
Nona,M,Fear,"Crocodile, nile",Granite,Canada
Julienne,B,Holleran,"Fowl, helmeted guinea",Rubber,China
Barbaraanne,E,Isaaksohn,"Lory, rainbow",Glass,Thailand
Krystyna,G,Higgoe,Western grey kangaroo,Plexiglass,China
Mariska,W,Atterley,"Stork, black-necked",Wood,Germany
Jemimah,B,Daviot,"Eagle, pallas's fish",Plexiglass,Nigeria
Vidovik,Q,Menghi,Baleen whale,Steel,Indonesia
Scarlet,L,Linning,North American red fox,Stone,Indonesia
Pippy,T,Amoore,"Bustard, kori",Wood,Sweden
Curcio,I,O'Cannavan,Yellow-brown sungazer,Granite,Japan
Deina,R,Daldry,"Sloth, hoffman's",Stone,China
Gris,H,Duinkerk,Black swan,Brass,Netherlands
Benjie,Y,Jacquemot,"Gecko, bent-toed",Vinyl,United States
Haze,D,Hull,Yellow-rumped siskin,Brass,Thailand
Gifford,O,Chomiszewski,"Wapiti, elk,",Vinyl,Portugal
Kirbee,J,Licas,Large-eared bushbaby,Rubber,China
Alejandro,L,De Beauchamp,"Pelican, great white",Rubber,China
Tate,K,Samuels,"Lion, australian sea",Stone,China
Jeromy,N,Keating,Galapagos albatross,Plastic,Poland
Barnie,J,Krojn,"Dragon, komodo",Granite,Greece
Gerri,R,Porch,"Swan, black",Steel,Poland
Titos,Q,Humpherston,Rose-ringed parakeet,Granite,Colombia
Roxine,M,Denzey,"Catfish, blue",Vinyl,Poland
Sarena,D,Dreger,Wild boar,Wood,China
Louise,A,Enderlein,Blue racer,Plastic,Niger
Nanice,D,MacGilmartin,"Lemming, arctic",Vinyl,China
Lizzy,A,Strangeway,Swainson's francolin,Granite,Botswana
Clarisse,D,Wones,Little cormorant,Steel,Russia
Sarena,X,Akess,Killer whale,Steel,Brazil
Corliss,D,Beamson,Baleen whale,Stone,China
Grove,S,Karlsson,"Rhinoceros, square-lipped",Aluminum,Argentina
Sari,F,Frankcombe,Fringe-eared oryx,Stone,Bosnia and Herzegovina
Lou,O,Bunhill,Downy woodpecker,Wood,Peru
Noami,T,Foux,Richardson's ground squirrel,Plexiglass,Indonesia
Alikee,U,Pasby,"Crane, wattled",Vinyl,Indonesia
Ruby,Z,Shelly,"Eagle, crowned",Brass,Bhutan
Waldo,I,Mertel,Field flicker,Steel,China
Mella,A,Grass,White-tailed deer,Vinyl,Indonesia
Ami,O,Lally,"Gorilla, western lowland",Vinyl,Russia
Abbott,X,Parrett,"Weaver, lesser masked",Granite,United States
Gunter,W,Garnham,"Bandicoot, southern brown",Wood,Brazil
Randene,E,Wrangle,American buffalo,Rubber,Brazil
Radcliffe,H,Veighey,African snake (unidentified),Brass,Pakistan
Edee,I,Linley,"Flicker, field",Brass,Philippines
Lorrie,X,Stammler,Egyptian goose,Granite,United States
Natka,E,Micheau,Pied avocet,Rubber,China
Janeva,S,Whistlecraft,"Lizard, mexican beaded",Steel,Argentina
Frances,B,Chellenham,"Deer, white-tailed",Steel,Philippines
Evangelina,P,Nutton,"Toucan, red-billed",Glass,Senegal
Patrick,S,Housen,"Bird, magnificent frigate",Vinyl,China
Ronnica,M,Tees,"Jaeger, long-tailed",Aluminum,Philippines
Kylynn,H,Bosch,Grey fox,Wood,Indonesia
Georgiana,M,Moxom,Jaguarundi,Aluminum,Japan
Reese,C,Hasard,South American puma,Glass,Poland
Zea,U,Francesco,"Lemur, sportive",Plexiglass,Russia
Orlan,N,Candy,"Lorikeet, scaly-breasted",Vinyl,Philippines
Hymie,O,Lagde,Tailless tenrec,Aluminum,Indonesia
Randolph,W,Ferrarini,"Monkey, rhesus",Wood,Peru
Grover,N,McNerlin,Andean goose,Wood,Mongolia
Portie,H,Dowe,"Fox, bat-eared",Glass,Sweden
Romeo,Z,Daley,"Boa, cook's tree",Steel,Indonesia
Rhiamon,M,Chittie,"Pheasant, common",Plastic,Japan
Ursala,C,Aizkovitch,Chuckwalla,Plexiglass,Greece
Lanae,T,Hause,South African hedgehog,Vinyl,United States
Bride,P,Lambkin,Fork-tailed drongo,Brass,Sri Lanka
Jany,N,Durrance,White-browed owl,Rubber,Indonesia
Fayre,Z,Moffet,"Gazelle, thomson's",Steel,China
Stefanie,I,Arens,Bat-eared fox,Granite,Guatemala
Rees,H,Strang,Carmine bee-eater,Granite,Indonesia
Quill,Y,Seeks,"Owl, snowy",Aluminum,Costa Rica
Onofredo,V,Emma,Waved albatross,Stone,Philippines
Claudine,N,Didball,"Wallaby, bennett's",Rubber,United States
Estrellita,C,Give,"Snake, green vine",Plexiglass,Colombia
Milly,V,Seares,Baleen whale,Aluminum,Brazil
Jonis,K,Chape,"Sheep, red",Plastic,Brazil
Maggi,B,Kingswood,Gulls (unidentified),Stone,Philippines
Gisele,D,Micka,White-browed owl,Steel,Mongolia
Pennie,P,Elintune,"Gull, herring",Wood,Indonesia
Alicea,Q,Realy,"Marmot, hoary",Wood,China
Madelene,P,Reynalds,"Tern, white-winged",Wood,Finland
Alwin,J,McBeth,"Thrasher, curve-billed",Rubber,Sweden
Eldredge,F,Noyce,White-winged tern,Aluminum,China
Gwen,J,Oleshunin,Black vulture,Brass,Russia
Franklin,U,Dench,Ocelot,Plastic,Nigeria
Nanci,Q,Phair,"Deer, savannah",Rubber,Brazil
Rupert,W,Aronstam,Blue and yellow macaw,Wood,China
Jami,X,MacMechan,"Macaque, rhesus",Plastic,Argentina
Natassia,W,Reubens,Bottle-nose dolphin,Granite,China
Tracie,Q,Jordan,South American puma,Plastic,Russia
Adolphe,Q,Hollyman,"Snake, tiger",Stone,China
Erica,U,Fassan,Horned lark,Aluminum,Thailand
Orelee,Y,Hodcroft,"Vulture, king",Steel,Indonesia
Gregorio,Y,Dubery,Red-tailed hawk,Brass,China
Igor,X,Robeiro,"Seal, northern fur",Stone,Sweden
Rozalie,Y,Haynesford,Kori bustard,Wood,Brazil
Leighton,I,Cheeke,"Peccary, white-lipped",Stone,Serbia
Glen,O,Danihel,"Wolf, common",Vinyl,Serbia
Donelle,O,Leethem,"Penguin, magellanic",Plastic,Japan
Darla,R,Allington,"Jaeger, long-tailed",Steel,North Korea
Kip,N,Lyndon,"Fox, asian red",Aluminum,China
Stefanie,P,Bergin,"Shelduck, european",Aluminum,Czech Republic
Lanni,K,Opfer,Malleefowl,Glass,Russia
Jim,A,Scurman,"Cockatoo, red-breasted",Granite,Morocco
Layne,O,Okenden,Red-billed tropic bird,Wood,Poland
Egbert,N,Sunner,Lapwing (unidentified),Vinyl,Indonesia
Trumaine,H,Buffey,Ringtail cat,Plastic,Poland
Rollins,Q,Sanbrooke,Southern white-crowned shrike,Brass,Brazil
Winston,A,Keating,Japanese macaque,Plexiglass,Philippines
Drona,E,Ralton,Chimpanzee,Granite,Sweden
Deanne,S,Glancey,"Kite, black",Granite,Philippines
Rad,V,Preddy,"Possum, ring-tailed",Plastic,Russia
Dyana,P,Applebee,Large cormorant,Brass,Ukraine
Waverly,M,Larkins,Crowned eagle,Plastic,Gabon
Martyn,M,Sheardown,"Echidna, short-beaked",Wood,Guatemala
Catarina,L,Gisburne,"Sandpiper, spotted wood",Brass,Canada
Felipa,C,Josilowski,"Vulture, white-headed",Aluminum,Canada
Dulce,X,Berthe,African bush squirrel,Rubber,Thailand
Lorna,N,Chevalier,Plains zebra,Wood,Japan
Jemie,M,Staries,Red-winged blackbird,Wood,Japan
Malchy,Z,Angrave,American beaver,Vinyl,Indonesia
Travus,O,Arpino,"Crow, pied",Plastic,Bosnia and Herzegovina
Wyatan,Q,Pedycan,"Quail, gambel's",Rubber,Haiti
Jillian,A,Sterrick,"Bulbul, black-eyed",Aluminum,Indonesia
Armando,R,Baraja,Goanna lizard,Wood,United States
Nesta,D,Stonman,"Genet, small-spotted",Plastic,Philippines
Kaleb,L,Janway,Jaguar,Wood,Brazil
Marcille,T,Bredgeland,"Starfish, crown of thorns",Glass,Afghanistan
Norris,T,Cawson,Dark-winged trumpeter,Plastic,Paraguay
D'arcy,V,Beranek,"Heron, boat-billed",Steel,Portugal
Benny,X,Scimonelli,Burmese brown mountain tortoise,Vinyl,Indonesia
